route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
Azul,laborales,A1,Est Autobuses Valladolid,,Azul
Azul,laborales,A2,Est Autobuses Valladolid,,Azul
Azul,laborales,A3,Est Autobuses Valladolid,,Azul
Azul,laborales,A4,Est Autobuses Valladolid,,Azul
Azul,laborales,A5,Est Autobuses Valladolid,,Azul
Azul,laborales,A6,Est Autobuses Valladolid,,Azul
Azul,laborales,A7,Est Autobuses Valladolid,,Azul
Azul,laborales,A8,Est Autobuses Valladolid,,Azul
Azul,laborales,A9,Est Autobuses Valladolid,,Azul
Azul,laborales,A10,Est Autobuses Valladolid,,Azul
Azul,laborales,A11,Est Autobuses Valladolid,,Azul
Azul,laborales,A12,Est Autobuses Valladolid,,Azul
Azul,laborales,A13,Est Autobuses Valladolid,,Azul
Azul,laborales,A14,Est Autobuses Valladolid,,Azul
Azul,laborales,A15,Est Autobuses Valladolid,,Azul
Azul,laborales,A16,Est Autobuses Valladolid,,Azul
Azul,laborales,A17,Est Autobuses Valladolid,,Azul
Azul,laborales,A18,Est Autobuses Valladolid,,Azul
Azul,laborales,A19,Est Autobuses Valladolid,,Azul
Azul,laborales,A20,Est Autobuses Valladolid,,Azul
Azul,laborales,A21,Est Autobuses Valladolid,,Azul
Azul,laborales,A22,Est Autobuses Valladolid,,Azul
Azul,laborales,A23,Est Autobuses Valladolid,,Azul
Azul,laborales,A24,Est Autobuses Valladolid,,Azul
Azul,laborales,A25,Est Autobuses Valladolid,,Azul
Azul,laborales,A26,Est Autobuses Valladolid,,Azul
Azul,laborales,A27,Est Autobuses Valladolid,,Azul
Azul,laborales,A28,Est Autobuses Valladolid,,Azul
Azul,laborales,A29,Est Autobuses Valladolid,,Azul
Azul,laborales,A30,Est Autobuses Valladolid,,Azul
Azul,laborales,A31,Est Autobuses Valladolid,,Azul
Azul,laborales,A32,Est Autobuses Valladolid,,Azul
Azul,sabados,A33,Est Autobuses Valladolid,,Azul
Azul,sabados,A34,Est Autobuses Valladolid,,Azul
Azul,sabados,A35,Est Autobuses Valladolid,,Azul
Azul,sabados,A36,Est Autobuses Valladolid,,Azul
Azul,sabados,A37,Est Autobuses Valladolid,,Azul
Azul,sabados,A38,Est Autobuses Valladolid,,Azul
Azul,sabados,A39,Est Autobuses Valladolid,,Azul
Azul,sabados,A40,Est Autobuses Valladolid,,Azul
Azul,sabados,A41,Est Autobuses Valladolid,,Azul
Azul,sabados,A42,Est Autobuses Valladolid,,Azul
Azul,sabados,A43,Est Autobuses Valladolid,,Azul
Azul,sabados,A44,Est Autobuses Valladolid,,Azul
Azul,sabados,A45,Est Autobuses Valladolid,,Azul
Azul,sabados,A46,Est Autobuses Valladolid,,Azul
Azul,domingos_y_festivos,A47,Est Autobuses Valladolid,,Azul
Azul,domingos_y_festivos,A48,Est Autobuses Valladolid,,Azul
Azul,domingos_y_festivos,A49,Est Autobuses Valladolid,,Azul
Azul,domingos_y_festivos,A50,Est Autobuses Valladolid,,Azul
Azul,domingos_y_festivos,A51,Est Autobuses Valladolid,,Azul
Buho,sabados,B1,Est de Autobuses Valladolid,,Buho
Buho,sabados,B2,Est de Autobuses Valladolid,,Buho
Buho,sabados,B3,Est de Autobuses Valladolid,,Buho
Buho,sabados,B4,Est de Autobuses Valladolid,,Buho
Buho,domingos_y_festivos,B5,Est de Autobuses Valladolid,,Buho
Buho,domingos_y_festivos,B6,Est de Autobuses Valladolid,,Buho
Buho,domingos_y_festivos,B7,Est de Autobuses Valladolid,,Buho
Buho,domingos_y_festivos,B8,Est de Autobuses Valladolid,,Buho
Buho,domingos_y_festivos,B9,Est de Autobuses Valladolid,,Buho
Roja,laborales,R1,Est de Autobuses Valladolid,,Roja
Roja,laborales,R2,Est de Autobuses Valladolid,,Roja
Roja,laborales,R3,Est de Autobuses Valladolid,,Roja
Roja,laborales,R4,Est de Autobuses Valladolid,,Roja
Roja,laborales,R5,Est de Autobuses Valladolid,,Roja
Roja,laborales,R6,Est de Autobuses Valladolid,,Roja
Roja,laborales,R7,Est de Autobuses Valladolid,,Roja
Roja,laborales,R8,Est de Autobuses Valladolid,,Roja
Roja,laborales,R9,Est de Autobuses Valladolid,,Roja
Roja,laborales,R10,Est de Autobuses Valladolid,,Roja
Roja,laborales,R11,Est de Autobuses Valladolid,,Roja
Roja,laborales,R12,Est de Autobuses Valladolid,,Roja
Roja,laborales,R13,Est de Autobuses Valladolid,,Roja
Roja,laborales,R14,Est de Autobuses Valladolid,,Roja
Roja,laborales,R15,Est de Autobuses Valladolid,,Roja
Roja,laborales,R16,Est de Autobuses Valladolid,,Roja
Roja,laborales,R17,Est de Autobuses Valladolid,,Roja
Roja,laborales,R18,Est de Autobuses Valladolid,,Roja
Roja,laborales,R19,Est de Autobuses Valladolid,,Roja
Roja,laborales,R20,Est de Autobuses Valladolid,,Roja
Roja,laborales,R21,Est de Autobuses Valladolid,,Roja
Roja,laborales,R22,Est de Autobuses Valladolid,,Roja
Roja,laborales,R23,Est de Autobuses Valladolid,,Roja
Roja,laborales,R24,Est de Autobuses Valladolid,,Roja
Roja,laborales,R25,Est de Autobuses Valladolid,,Roja
Roja,laborales,R26,Est de Autobuses Valladolid,,Roja
Roja,laborales,R27,Est de Autobuses Valladolid,,Roja
Roja,laborales,R28,Est de Autobuses Valladolid,,Roja
Roja,laborales,R29,Est de Autobuses Valladolid,,Roja
Roja,laborales,R30,Est de Autobuses Valladolid,,Roja
Roja,laborales,R31,Est de Autobuses Valladolid,,Roja
Roja,laborales,R32,Est de Autobuses Valladolid,,Roja
Roja,laborales,R33,Est de Autobuses Valladolid,,Roja
Roja,sabados,R34,Est de Autobuses Valladolid,,Roja
Roja,sabados,R35,Est de Autobuses Valladolid,,Roja
Roja,sabados,R36,Est de Autobuses Valladolid,,Roja
Roja,sabados,R37,Est de Autobuses Valladolid,,Roja
Roja,sabados,R38,Est de Autobuses Valladolid,,Roja
Roja,sabados,R39,Est de Autobuses Valladolid,,Roja
Roja,sabados,R40,Est de Autobuses Valladolid,,Roja
Roja,sabados,R41,Est de Autobuses Valladolid,,Roja
Roja,sabados,R42,Est de Autobuses Valladolid,,Roja
Roja,sabados,R43,Est de Autobuses Valladolid,,Roja
Roja,sabados,R44,Est de Autobuses Valladolid,,Roja
Roja,sabados,R45,Est de Autobuses Valladolid,,Roja
Roja,sabados,R46,Est de Autobuses Valladolid,,Roja
Roja,sabados,R47,Est de Autobuses Valladolid,,Roja
Roja,sabados,R48,Est de Autobuses Valladolid,,Roja
Roja,domingos_y_festivos,R49,Est de Autobuses Valladolid,,Roja
Roja,domingos_y_festivos,R50,Est de Autobuses Valladolid,,Roja
Roja,domingos_y_festivos,R51,Est de Autobuses Valladolid,,Roja
Roja,domingos_y_festivos,R52,Est de Autobuses Valladolid,,Roja
Roja,domingos_y_festivos,R53,Est de Autobuses Valladolid,,Roja
Verde,laborales,V1I,Pl Magdalena (Facultad de F y L),0,Verde_ida
Verde,laborales,V1V,Av Colón 175,1,Verde_vuelta
