shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Azul,41.61094, -4.79087,340
Azul,41.61095, -4.79094,341
Azul,41.61096, -4.79118,342
Azul,41.61101, -4.79182,343
Azul,41.61103, -4.79182,344
Azul,41.61104, -4.79182,345
Azul,41.61106, -4.79182,346
Azul,41.61107, -4.79183,347
Azul,41.61109, -4.79183,348
Azul,41.6111, -4.79184,349
Azul,41.61111, -4.79185,350
Azul,41.61113, -4.79187,351
Azul,41.61114, -4.79188,352
Azul,41.61115, -4.79189,353
Azul,41.61116, -4.79191,354
Azul,41.61117, -4.79193,355
Azul,41.61118, -4.79194,356
Azul,41.61118, -4.79196,357
Azul,41.61119, -4.79198,358
Azul,41.6112, -4.792,359
Azul,41.6112, -4.79202,360
Azul,41.6112, -4.79204,361
Azul,41.6112, -4.79206,362
Azul,41.6112, -4.79208,363
Azul,41.6112, -4.79209,364
Azul,41.6112, -4.7921,365
Azul,41.6112, -4.79211,366
Azul,41.6112, -4.79212,367
Azul,41.6112, -4.79213,368
Azul,41.61119, -4.79214,369
Azul,41.61119, -4.79215,370
Azul,41.61119, -4.79216,371
Azul,41.61118, -4.79218,372
Azul,41.61117, -4.7922,373
Azul,41.61116, -4.79222,374
Azul,41.61115, -4.79223,375
Azul,41.61114, -4.79225,376
Azul,41.61113, -4.79226,377
Azul,41.61111, -4.79228,378
Azul,41.6111, -4.79229,379
Azul,41.61109, -4.7923,380
Azul,41.61107, -4.79231,381
Azul,41.61105, -4.79231,382
Azul,41.61103, -4.79232,383
Azul,41.61105, -4.79256,384
Azul,41.61109, -4.79328,385
Azul,41.61111, -4.79352,386
Azul,41.61112, -4.79369,387
Azul,41.61113, -4.79368,388
Azul,41.61115, -4.79368,389
Azul,41.61116, -4.79368,390
Azul,41.61117, -4.79367,391
Azul,41.61118, -4.79367,392
Azul,41.6112, -4.79367,393
Azul,41.61121, -4.79368,394
Azul,41.61122, -4.79368,395
Azul,41.61123, -4.79368,396
Azul,41.61124, -4.79369,397
Azul,41.61126, -4.7937,398
Azul,41.61127, -4.7937,399
Azul,41.61128, -4.79371,400
Azul,41.61129, -4.79372,401
Azul,41.6113, -4.79373,402
Azul,41.61131, -4.79374,403
Azul,41.61131, -4.79376,404
Azul,41.61132, -4.79377,405
Azul,41.61133, -4.79378,406
Azul,41.61133, -4.7938,407
Azul,41.61134, -4.79381,408
Azul,41.61134, -4.79383,409
Azul,41.61135, -4.79385,410
Azul,41.61135, -4.79386,411
Azul,41.61135, -4.79388,412
Azul,41.61135, -4.7939,413
Azul,41.61135, -4.79391,414
Azul,41.61135, -4.79393,415
Azul,41.61135, -4.79395,416
Azul,41.61134, -4.79396,417
Azul,41.61134, -4.79398,418
Azul,41.61134, -4.79399,419
Azul,41.61133, -4.79401,420
Azul,41.61132, -4.79402,421
Azul,41.61132, -4.79404,422
Azul,41.61131, -4.79405,423
Azul,41.6113, -4.79406,424
Azul,41.61129, -4.79407,425
Azul,41.61128, -4.79408,426
Azul,41.61127, -4.79409,427
Azul,41.61136, -4.79418,428
Azul,41.61142, -4.79423,429
Azul,41.61151, -4.7943,430
Azul,41.61158, -4.79434,431
Azul,41.61165, -4.79437,432
Azul,41.61184, -4.79446,433
Azul,41.61186, -4.79447,434
Azul,41.61195, -4.79454,435
Azul,41.61196, -4.79454,436
Azul,41.61196, -4.79453,437
Azul,41.61197, -4.79452,438
Azul,41.61198, -4.79451,439
Azul,41.61199, -4.7945,440
Azul,41.612, -4.7945,441
Azul,41.612, -4.79449,442
Azul,41.61201, -4.79449,443
Azul,41.61202, -4.79449,444
Azul,41.61203, -4.79449,445
Azul,41.61204, -4.79449,446
Azul,41.61205, -4.79449,447
Azul,41.61206, -4.79449,448
Azul,41.61207, -4.79449,449
Azul,41.61207, -4.7945,450
Azul,41.61208, -4.7945,451
Azul,41.61209, -4.79451,452
Azul,41.6121, -4.79452,453
Azul,41.61211, -4.79453,454
Azul,41.61211, -4.79454,455
Azul,41.61212, -4.79454,456
Azul,41.61212, -4.79455,457
Azul,41.61212, -4.79456,458
Azul,41.61213, -4.79457,459
Azul,41.61213, -4.79458,460
Azul,41.61213, -4.79459,461
Azul,41.61213, -4.7946,462
Azul,41.61213, -4.79461,463
Azul,41.61214, -4.79462,464
Azul,41.61214, -4.79463,465
Azul,41.61213, -4.79463,466
Azul,41.61213, -4.79464,467
Azul,41.61213, -4.79465,468
Azul,41.61213, -4.79466,469
Azul,41.61213, -4.79467,470
Azul,41.61213, -4.79468,471
Azul,41.61212, -4.79468,472
Azul,41.61212, -4.79469,473
Azul,41.61212, -4.7947,474
Azul,41.61211, -4.7947,475
Azul,41.61211, -4.79471,476
Azul,41.61211, -4.79472,477
Azul,41.6121, -4.79472,478
Azul,41.6121, -4.79473,479
Azul,41.61209, -4.79473,480
Azul,41.61208, -4.79474,481
Azul,41.61207, -4.79475,482
Azul,41.61206, -4.79475,483
Azul,41.61205, -4.79475,484
Azul,41.61204, -4.79475,485
Azul,41.61203, -4.79475,486
Azul,41.61202, -4.79475,487
Azul,41.61201, -4.79475,488
Azul,41.612, -4.79475,489
Azul,41.61199, -4.79474,490
Azul,41.61198, -4.79473,491
Azul,41.61197, -4.79472,492
Azul,41.61172, -4.79468,493
Azul,41.61162, -4.79468,494
Azul,41.61159, -4.79469,495
Azul,41.61151, -4.79471,496
Azul,41.61145, -4.79474,497
Azul,41.61143, -4.79475,498
Azul,41.61139, -4.79477,499
Azul,41.61135, -4.7948,500
Azul,41.6113, -4.79484,501
Azul,41.61125, -4.79488,502
Azul,41.6112, -4.79492,503
Azul,41.61116, -4.79498,504
Azul,41.61111, -4.79504,505
Azul,41.61108, -4.79509,506
Azul,41.61108, -4.7951,507
Azul,41.61104, -4.79517,508
Azul,41.61101, -4.79524,509
Azul,41.61099, -4.7953,510
Azul,41.61096, -4.79539,511
Azul,41.61094, -4.79548,512
Azul,41.61093, -4.79556,513
Azul,41.61092, -4.79565,514
Azul,41.61092, -4.79574,515
Azul,41.61092, -4.79584,516
Azul,41.61094, -4.79593,517
Azul,41.61095, -4.79602,518
Azul,41.61097, -4.79609,519
Azul,41.61101, -4.79624,520
Azul,41.61109, -4.79647,521
Azul,41.61118, -4.79679,522
Azul,41.61121, -4.79688,523
Azul,41.61122, -4.79687,524
Azul,41.61123, -4.79687,525
Azul,41.61123, -4.79686,526
Azul,41.61124, -4.79686,527
Azul,41.61125, -4.79685,528
Azul,41.61126, -4.79685,529
Azul,41.61127, -4.79685,530
Azul,41.61128, -4.79685,531
Azul,41.61128, -4.79684,532
Azul,41.61129, -4.79684,533
Azul,41.6113, -4.79685,534
Azul,41.61131, -4.79685,535
Azul,41.61132, -4.79685,536
Azul,41.61132, -4.79686,537
Azul,41.61133, -4.79686,538
Azul,41.61134, -4.79686,539
Azul,41.61134, -4.79687,540
Azul,41.61135, -4.79687,541
Azul,41.61135, -4.79688,542
Azul,41.61136, -4.79688,543
Azul,41.61136, -4.79689,544
Azul,41.61137, -4.79689,545
Azul,41.61137, -4.7969,546
Azul,41.61137, -4.79691,547
Azul,41.61138, -4.79692,548
Azul,41.61138, -4.79693,549
Azul,41.61138, -4.79694,550
Azul,41.61139, -4.79695,551
Azul,41.61139, -4.79696,552
Azul,41.61139, -4.79697,553
Azul,41.61139, -4.79698,554
Azul,41.61139, -4.79699,555
Azul,41.61139, -4.797,556
Azul,41.61139, -4.79701,557
Azul,41.61139, -4.79702,558
Azul,41.61139, -4.79703,559
Azul,41.61138, -4.79703,560
Azul,41.61138, -4.79704,561
Azul,41.61138, -4.79705,562
Azul,41.61138, -4.79706,563
Azul,41.61137, -4.79706,564
Azul,41.61137, -4.79707,565
Azul,41.61137, -4.79708,566
Azul,41.61136, -4.79708,567
Azul,41.61136, -4.79709,568
Azul,41.61135, -4.79709,569
Azul,41.61135, -4.7971,570
Azul,41.61134, -4.79711,571
Azul,41.61133, -4.79712,572
Azul,41.61132, -4.79712,573
Azul,41.61131, -4.79712,574
Azul,41.61131, -4.79713,575
Azul,41.6113, -4.79713,576
Azul,41.61129, -4.79713,577
Azul,41.61128, -4.79713,578
Azul,41.61127, -4.79713,579
Azul,41.61126, -4.79713,580
Azul,41.61126, -4.79712,581
Azul,41.61125, -4.79712,582
Azul,41.61124, -4.79712,583
Azul,41.61123, -4.79711,584
Azul,41.61122, -4.79711,585
Azul,41.61122, -4.7971,586
Azul,41.61121, -4.79709,587
Azul,41.61117, -4.79711,588
Azul,41.61121, -4.79709,589
Azul,41.61121, -4.79708,590
Azul,41.6112, -4.79708,591
Azul,41.6112, -4.79707,592
Azul,41.61119, -4.79706,593
Azul,41.61119, -4.79705,594
Azul,41.61119, -4.79704,595
Azul,41.61118, -4.79704,596
Azul,41.61118, -4.79703,597
Azul,41.61118, -4.79702,598
Azul,41.61118, -4.79701,599
Azul,41.61118, -4.797,600
Azul,41.61118, -4.79699,601
Azul,41.61118, -4.79698,602
Azul,41.61118, -4.79697,603
Azul,41.61118, -4.79696,604
Azul,41.61118, -4.79695,605
Azul,41.61118, -4.79694,606
Azul,41.61119, -4.79693,607
Azul,41.61119, -4.79692,608
Azul,41.61119, -4.79691,609
Azul,41.6112, -4.79691,610
Azul,41.6112, -4.7969,611
Azul,41.6112, -4.79689,612
Azul,41.61121, -4.79689,613
Azul,41.61121, -4.79688,614
Azul,41.61118, -4.79679,615
Azul,41.61109, -4.79647,616
Azul,41.61101, -4.79624,617
Azul,41.61097, -4.79609,618
Azul,41.61095, -4.79602,619
Azul,41.61094, -4.79593,620
Azul,41.61092, -4.79584,621
Azul,41.61092, -4.79574,622
Azul,41.61092, -4.79565,623
Azul,41.61093, -4.79556,624
Azul,41.61094, -4.79548,625
Azul,41.61096, -4.79539,626
Azul,41.61099, -4.7953,627
Azul,41.61101, -4.79524,628
Azul,41.61104, -4.79517,629
Azul,41.61108, -4.7951,630
Azul,41.61108, -4.79509,631
Azul,41.61111, -4.79504,632
Azul,41.61116, -4.79498,633
Azul,41.6112, -4.79492,634
Azul,41.61125, -4.79488,635
Azul,41.6113, -4.79484,636
Azul,41.61135, -4.7948,637
Azul,41.61139, -4.79477,638
Azul,41.61143, -4.79475,639
Azul,41.61145, -4.79474,640
Azul,41.61151, -4.79471,641
Azul,41.61159, -4.79469,642
Azul,41.61162, -4.79468,643
Azul,41.61172, -4.79468,644
Azul,41.61194, -4.79459,645
Azul,41.61194, -4.79458,646
Azul,41.61194, -4.79457,647
Azul,41.61195, -4.79456,648
Azul,41.61195, -4.79455,649
Azul,41.61195, -4.79454,650
Azul,41.61196, -4.79454,651
Azul,41.61196, -4.79453,652
Azul,41.61197, -4.79452,653
Azul,41.61198, -4.79451,654
Azul,41.61199, -4.7945,655
Azul,41.612, -4.7945,656
Azul,41.612, -4.79449,657
Azul,41.61201, -4.79449,658
Azul,41.61202, -4.79449,659
Azul,41.61203, -4.79449,660
Azul,41.61204, -4.79449,661
Azul,41.61205, -4.79449,662
Azul,41.61206, -4.79449,663
Azul,41.61207, -4.79449,664
Azul,41.61207, -4.7945,665
Azul,41.61208, -4.7945,666
Azul,41.61209, -4.79451,667
Azul,41.6121, -4.79452,668
Azul,41.61211, -4.79453,669
Azul,41.61211, -4.79454,670
Azul,41.61212, -4.79454,671
Azul,41.61212, -4.79455,672
Azul,41.61212, -4.79456,673
Azul,41.61213, -4.79457,674
Azul,41.61213, -4.79458,675
Azul,41.61213, -4.79459,676
Azul,41.61213, -4.7946,677
Azul,41.61213, -4.79461,678
Azul,41.61214, -4.79462,679
Azul,41.61214, -4.79463,680
Azul,41.61213, -4.79463,681
Azul,41.61213, -4.79464,682
Azul,41.61213, -4.79465,683
Azul,41.61229, -4.79493,684
Azul,41.61233, -4.795,685
Azul,41.61244, -4.7951,686
Azul,41.6126, -4.79525,687
Azul,41.61267, -4.79531,688
Azul,41.61276, -4.79538,689
Azul,41.61283, -4.79544,690
Azul,41.61292, -4.79551,691
Azul,41.61313, -4.79569,692
Azul,41.61317, -4.79573,693
Azul,41.61331, -4.79586,694
Azul,41.61351, -4.79606,695
Azul,41.61358, -4.79615,696
Azul,41.6136, -4.79619,697
Azul,41.61362, -4.79621,698
Azul,41.61367, -4.79629,699
Azul,41.61372, -4.79638,700
Azul,41.61374, -4.79642,701
Azul,41.61376, -4.79651,702
Azul,41.61378, -4.79659,703
Azul,41.61378, -4.7967,704
Azul,41.61379, -4.79679,705
Azul,41.61378, -4.7969,706
Azul,41.61377, -4.79694,707
Azul,41.61376, -4.79701,708
Azul,41.61374, -4.79707,709
Azul,41.61371, -4.79717,710
Azul,41.61362, -4.79738,711
Azul,41.61347, -4.79766,712
Azul,41.61346, -4.79768,713
Azul,41.61308, -4.79846,714
Azul,41.61307, -4.79847,715
Azul,41.6127, -4.79921,716
Azul,41.61268, -4.79931,717
Azul,41.61268, -4.79937,718
Azul,41.61269, -4.79943,719
Azul,41.61271, -4.79952,720
Azul,41.61274, -4.79967,721
Azul,41.61277, -4.79967,722
Azul,41.61279, -4.79968,723
Azul,41.61282, -4.79969,724
Azul,41.61284, -4.7997,725
Azul,41.61286, -4.79971,726
Azul,41.61288, -4.79973,727
Azul,41.6129, -4.79976,728
Azul,41.61293, -4.79979,729
Azul,41.61299, -4.79974,730
Azul,41.61316, -4.79965,731
Azul,41.61323, -4.79967,732
Azul,41.61403, -4.79912,733
Azul,41.61419, -4.79901,734
Azul,41.6148, -4.7986,735
Azul,41.61493, -4.79852,736
Azul,41.61635, -4.79755,737
Azul,41.61743, -4.79682,738
Azul,41.61763, -4.79668,739
Azul,41.61789, -4.79651,740
Azul,41.61788, -4.7965,741
Azul,41.61788, -4.79648,742
Azul,41.61787, -4.79647,743
Azul,41.61787, -4.79646,744
Azul,41.61786, -4.79645,745
Azul,41.61786, -4.79643,746
Azul,41.61786, -4.79642,747
Azul,41.61785, -4.79641,748
Azul,41.61785, -4.79639,749
Azul,41.61785, -4.79637,750
Azul,41.61785, -4.79636,751
Azul,41.61785, -4.79635,752
Azul,41.61786, -4.79633,753
Azul,41.61786, -4.79632,754
Azul,41.61786, -4.79631,755
Azul,41.61787, -4.79629,756
Azul,41.61787, -4.79628,757
Azul,41.61787, -4.79627,758
Azul,41.61788, -4.79626,759
Azul,41.61789, -4.79625,760
Azul,41.61789, -4.79624,761
Azul,41.6179, -4.79623,762
Azul,41.61791, -4.79622,763
Azul,41.61792, -4.79621,764
Azul,41.61792, -4.7962,765
Azul,41.61793, -4.7962,766
Azul,41.61794, -4.79619,767
Azul,41.61795, -4.79619,768
Azul,41.61796, -4.79618,769
Azul,41.61797, -4.79618,770
Azul,41.61798, -4.79618,771
Azul,41.61799, -4.79617,772
Azul,41.618, -4.79617,773
Azul,41.61801, -4.79617,774
Azul,41.61802, -4.79618,775
Azul,41.61803, -4.79618,776
Azul,41.61804, -4.79618,777
Azul,41.61805, -4.79618,778
Azul,41.61806, -4.79619,779
Azul,41.61807, -4.7962,780
Azul,41.61808, -4.7962,781
Azul,41.61809, -4.79621,782
Azul,41.6181, -4.79622,783
Azul,41.61811, -4.79623,784
Azul,41.61811, -4.79624,785
Azul,41.61812, -4.79625,786
Azul,41.61813, -4.79626,787
Azul,41.61813, -4.79627,788
Azul,41.61814, -4.79628,789
Azul,41.61814, -4.79629,790
Azul,41.61815, -4.7963,791
Azul,41.61815, -4.79632,792
Azul,41.61815, -4.79633,793
Azul,41.61815, -4.79634,794
Azul,41.61815, -4.79635,795
Azul,41.61815, -4.79636,796
Azul,41.61816, -4.79637,797
Azul,41.61815, -4.7964,798
Azul,41.61815, -4.79641,799
Azul,41.61815, -4.79642,800
Azul,41.61815, -4.79644,801
Azul,41.61814, -4.79645,802
Azul,41.61814, -4.79646,803
Azul,41.61814, -4.79647,804
Azul,41.61814, -4.79648,805
Azul,41.61813, -4.79649,806
Azul,41.61812, -4.7965,807
Azul,41.61812, -4.79651,808
Azul,41.61811, -4.79652,809
Azul,41.6181, -4.79653,810
Azul,41.6181, -4.79654,811
Azul,41.61809, -4.79654,812
Azul,41.61808, -4.79655,813
Azul,41.61807, -4.79656,814
Azul,41.61806, -4.79656,815
Azul,41.61807, -4.7969,816
Azul,41.61807, -4.79709,817
Azul,41.61808, -4.79738,818
